Provinsi,Kab Kota,Kecamatan,Desa,Tanggal,Waktu,Satelit,Confidence,Latitude,Longitude
Kalimantan Barat,MELAWI,Tanah Pinoh,Bina Jaya,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.79613,111.62212
Kalimantan Barat,MELAWI,Tanah Pinoh,Bina Karya,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.77817,111.56543
Kalimantan Barat,MELAWI,Tanah Pinoh,Bina Karya,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.77817,111.56544
Kalimantan Barat,MELAWI,Tanah Pinoh,Bina Karya,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.77648,111.56624
Kalimantan Barat,MELAWI,Tanah Pinoh,Bina Karya,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.77647,111.56625
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Laja,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.68685,111.45769
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Laja,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.68685,111.4577
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Laja,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.68626,111.46133
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Laja,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.671,111.48528
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Laja,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.671,111.48529
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Laja,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.66681,111.48682
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Laja,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.63517,111.47066
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Laja,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.63517,111.47067
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Lintah Taum,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.64613,111.5099
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Lintah Taum,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.64556,111.51357
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Lintah Taum,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.64555,111.51357
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Lintah Taum,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.64054,111.50911
Kalimantan Barat,MELAWI,Tanah Pinoh Barat,Lintah Taum,13/08/2024,13:37 WIB,NASA-SNPP,Medium,-0.61948,111.5341
